Item Code,Item Name,Description,Item Cost Code,Item Category,UOM,Rentable
21212SPFKD,2 X 12 - 12 2BTR KD SPRUCE,2 X 12 - 12 2BTR KD SPRUCE,02/06/10,Lumber,ea,NO
21214SPFKD,2 X 12 - 14 2BTR KD SPRUCE,2 X 12 - 14 2BTR KD SPRUCE,02/06/10,Lumber,ea,NO
21216SPFKD,1 X 12 - 16 2BTR KD SPRUCE,1 X 12 - 16 2BTR KD SPRUCE,02/06/10,Lumber,ea,NO
2414FIRKD,2 X 4 - 14 2BTR KD FIR,2 X 4 - 14 2BTR KD FIR,02/06/10,Lumber,ea,NO
2420FIRKD,2 X 4 - 20 2BTR KD FIR,2 X 4 - 20 2BTR KD FIR,02/06/10,Lumber,ea,NO
2614FIRKD,2 X 6 - 14 2BTR KD FIR,2 X 6 - 14 2BTR KD FIR,02/06/10,Lumber,ea,NO
2620FIRKD,2 X 6 - 20 2BTR KD FIR,2 X 6 - 20 2BTR KD FIR,02/06/10,Lumber,ea,NO
4838SPRUCE,"4X8 x 3/8"" SPRUCE PLY SHEATHING","4X8 x 3/8"" SPRUCE PLY SHEATHING",02/06/10,Panel,ea,NO
4812SPRUCE,"4X8 x 1/2"" SPRUCE PLY SHEATHING","4X8 x 1/2"" SPRUCE PLY SHEATHING",02/06/10,Panel,ea,NO
4858SPRUCE,"4X8 x 5/8"" SPRUCE PLY SHEATHING","4X8 x 5/8"" SPRUCE PLY SHEATHING",02/06/10,Panel,ea,NO
4834SPRUCE,"4X 8 x 3/4"" SPRUCE PLY SHEATHING","4X 8 x 3/4"" SPRUCE PLY SHEATHING",02/06/10,Panel,ea,NO
4838FIR,"4X8 x 3/8"" FIR PLY SHEATHING","4X8 x 3/8"" FIR PLY SHEATHING",02/06/10,Panel,ea,NO
4812FIR,"4X8 x 1/2"" FIR PLY SHEATHING","4X8 x 1/2"" FIR PLY SHEATHING",02/06/10,Panel,ea,NO
4858FIR,"4X8 x 5/8"" FIR PLY SHEATHING","4X8 x 5/8"" FIR PLY SHEATHING",02/06/10,Panel,ea,NO
4834FIR,"4X8 x 3/4"" FIR PLY SHEATHING","4X8 x 3/4"" FIR PLY SHEATHING",02/06/10,Panel,ea,NO
481FIR,"4X8 x 1"" FIR PLY SHEATHING","4X8 x 1"" FIR PLY SHEATHING",02/06/10,Panel,ea,NO
4838OSB,"4X8 x 3/8"" OSB SHEATHING","4X8 x 3/8"" OSB SHEATHING",02/06/10,Panel,ea,NO
48716OSB,"4X8 x 7/16"" OSB SHEATHING","4X8 x 7/16"" OSB SHEATHING",02/06/10,Panel,ea,NO
4812OSB,"4X8 x 1/2"" OSB SHEATHING","4X8 x 1/2"" OSB SHEATHING",02/06/10,Panel,ea,NO
REBAR1520,REBAR 15MM X 20',REBAR 15MM X 20',02/03/20,Rebar,ea,NO
REBAR152CORN,REBAR 90 15MM 2'X2' CORNER,REBAR 90 15MM 2'X2' CORNER,02/03/20,Rebar,ea,NO
REBARTIE616,"REBAR LOOP TIES 6"" 16 GAUGE","REBAR LOOP TIES 6"" 16 GAUGE",02/03/20,Rebar,ea,NO
2410414STDFIR,2 x 4 2BTR KD FIR STUD 104-1/4,2 x 4 2BTR KD FIR STUD 104-1/4,02/06/10,Stud,ea,NO
2610414STDFIR,2 x 6 2BTR KD FIR STUD 104-1/4,2 x 6 2BTR KD FIR STUD 104-1/4,02/06/10,Stud,ea,NO
249214STDSOLID,2 x 4 SOLID STUD 92-1/4,2 x 4 SOLID STUD 92-1/4,02/06/10,Stud,ea,NO
2410414STDSOLID,2 x 4 SOLID STUD 104-1/4,2 x 4 SOLID STUD 104-1/4,02/06/10,Stud,ea,NO
2411614STDSOLID,2 x 4 SOLID STUD 116-1/4,2 x 4 SOLID STUD 116-1/4,02/06/10,Stud,ea,NO
269214STDSOLID,2 x 6 SOLID STUD 92-1/4,2 x 6 SOLID STUD 92-1/4,02/06/10,Stud,ea,NO
2610414STDSOLID,2 x 6 SOLID STUD 104-1/4,2 x 6 SOLID STUD 104-1/4,02/06/10,Stud,ea,NO
2611614STDSOLID,2 x 6 SOLID STUD 116-1/4,2 x 6 SOLID STUD 116-1/4,02/06/10,Stud,ea,NO
249214STDFJ,2 x 4 FJ STUD 92-1/4,2 x 4 FJ STUD 92-1/4,02/06/10,Stud,ea,NO
2410414STDFJ,2 x 4 FJ STUD 104-1/4,2 x 4 FJ STUD 104-1/4,02/06/10,Stud,ea,NO
2411614STDFJ,2 x 4 FJ STUD 116-1/4,2 x 4 FJ STUD 116-1/4,02/06/10,Stud,ea,NO
269214STDFJ,2 x 6 FJ STUD 92-1/4,2 x 6 FJ STUD 92-1/4,02/06/10,Stud,ea,NO
2610414STDFJ,2 x 6 FJ STUD 104-1/4,2 x 6 FJ STUD 104-1/4,02/06/10,Stud,ea,NO
2611614STDFJ,2 x 6 FJ STUD 116-1/4,2 x 6 FJ STUD 116-1/4,02/06/10,Stud,ea,NO
1208PT,1 X 2 - 08 TREATED LUMBER BROWN,1 X 2 - 08 TREATED LUMBER BROWN,02/06/10,Treated,ea,NO
1208PT,1 X 4 - 08 TREATED LUMBER BROWN,1 X 4 - 08 TREATED LUMBER BROWN,02/06/10,Treated,ea,NO
1608PT,1 X 6 - 08 TREATED LUMBER BROWN,1 X 6 - 08 TREATED LUMBER BROWN,02/06/10,Treated,ea,NO
2208PT,2 X 2 - 08 TREATED LUMBER BROWN,2 X 2 - 08 TREATED LUMBER BROWN,02/06/10,Treated,ea,NO
2808PT,2 X 8 - 08 TREATED LUMBER BROWN,2 X 8 - 08 TREATED LUMBER BROWN,02/06/10,Treated,ea,NO
2810PT,2 X 8 - 10 TREATED LUMBER BROWN,2 X 8 - 10 TREATED LUMBER BROWN,02/06/10,Treated,ea,NO
2812PT,2 X 8 - 12 TREATED LUMBER BROWN,2 X 8 - 12 TREATED LUMBER BROWN,02/06/10,Treated,ea,NO
2814PT,2 X 8 - 14 TREATED LUMBER BROWN,2 X 8 - 14 TREATED LUMBER BROWN,02/06/10,Treated,ea,NO
