item_code,name,description,status,is_rentable,category,cost_code,item_unit
LSL3121178(1.55E),"3 1/2"" x 11 7/8"" 1.55 Timberstrand LSL ","3 1/2"" x 11 7/8"" 1.55 Timberstrand LSL ",1,0,EWP,2/06/18,ea
LSL31214(1.55E),"3 1/2"" x 14"" 1.55 Timberstrand LSL ","3 1/2"" x 14"" 1.55 Timberstrand LSL ",1,0,EWP,2/06/18,ea
LSL31216(1.55E),"3 1/2"" x 16"" 1.55 Timberstrand LSL ","3 1/2"" x 16"" 1.55 Timberstrand LSL ",1,0,EWP,2/06/18,ea
LVL134512(2.0E),"1 3/4"" x 5 1/2"" 2.0 Microllam LVL ","1 3/4"" x 5 1/2"" 2.0 Microllam LVL ",1,0,EWP,2/06/18,ea
LVL134714(2.0E),"1 3/4"" x 7 1/4"" 2.0 Microllam LVL ","1 3/4"" x 7 1/4"" 2.0 Microllam LVL ",1,0,EWP,2/06/18,ea
LVL134912(2.0E),"1 3/4"" x 9 1/2"" 2.0 Microllam LVL ","1 3/4"" x 9 1/2"" 2.0 Microllam LVL ",1,0,EWP,2/06/18,ea
LVL1341178(2.0E),"1 3/4"" x 11 7/8"" 2.0 Microllam LVL ","1 3/4"" x 11 7/8"" 2.0 Microllam LVL ",1,0,EWP,2/06/18,ea
LVL13414(2.0E),"1 3/4"" x 14"" 2.0 Microllam LVL ","1 3/4"" x 14"" 2.0 Microllam LVL ",1,0,EWP,2/06/18,ea
LVL13416(2.0E),"1 3/4"" x 16"" 2.0 Microllam LVL ","1 3/4"" x 16"" 2.0 Microllam LVL ",1,0,EWP,2/06/18,ea
LVL13418(2.0E),"1 3/4"" x 18"" 2.0 Microllam LVL ","1 3/4"" x 18"" 2.0 Microllam LVL ",1,0,EWP,2/06/18,ea
TJI230912,"TJI Joist 230 9 1/2"" ","TJI Joist 230 9 1/2"" ",1,0,EWP,2/06/18,ea
TJI2301178,"TJI Joist 230 11 7/8"" ","TJI Joist 230 11 7/8"" ",1,0,EWP,2/06/18,ea
