Item Code,Item Name,Description,Item Cost Code,Item Category,UOM,Rentable
HTT5,SIMPSON HTT5 Heavy Tension Tie,SIMPSON HTT5 Heavy Tension Tie,2-06-18,Wood Construction Connectors,ea,NO
HTT5KT,SIMPSON HTT5KT Heavy Tension Tie,SIMPSON HTT5KT Heavy Tension Tie,2-06-18,Wood Construction Connectors,ea,NO
HTT5-3/4,SIMPSON HTT5-3/4 Heavy Tension Tie,SIMPSON HTT5-3/4 Heavy Tension Tie,2-06-18,Wood Construction Connectors,ea,NO
LSTA9,"SIMPSON LSTA9 Light Strap Tie 1 1/4""X9""","SIMPSON LSTA9 Light Strap Tie 1 1/4""X9""",2-06-18,Wood Construction Connectors,ea,NO
LSTA12,"SIMPSON LSTA12 Light Strap Tie 1 1/4""X12""","SIMPSON LSTA12 Light Strap Tie 1 1/4""X12""",2-06-18,Wood Construction Connectors,ea,NO
LSTA15,"SIMPSON LSTA15 Light Strap Tie 1 1/4""X15""","SIMPSON LSTA15 Light Strap Tie 1 1/4""X15""",2-06-18,Wood Construction Connectors,ea,NO
LSTA18,"SIMPSON LSTA18 Light Strap Tie 1 1/4""X18""","SIMPSON LSTA18 Light Strap Tie 1 1/4""X18""",2-06-18,Wood Construction Connectors,ea,NO
LSTA21,"SIMPSON LSTA21 Light Strap Tie 1 1/4""X21""","SIMPSON LSTA21 Light Strap Tie 1 1/4""X21""",2-06-18,Wood Construction Connectors,ea,NO
LSTA24,"SIMPSON LSTA24 Light Strap Tie 1 1/4""X24""","SIMPSON LSTA24 Light Strap Tie 1 1/4""X24""",2-06-18,Wood Construction Connectors,ea,NO
LSTA30,"SIMPSON LSTA30 Light Strap Tie 1 1/4""X30""","SIMPSON LSTA30 Light Strap Tie 1 1/4""X30""",2-06-18,Wood Construction Connectors,ea,NO
LSTA36,"SIMPSON LSTA36 Light Strap Tie 1 1/4""X36""","SIMPSON LSTA36 Light Strap Tie 1 1/4""X36""",2-06-18,Wood Construction Connectors,ea,NO
LTP4,SIMPSON LTP4 Lateral Tie Plate,SIMPSON LTP4 Lateral Tie Plate,2-06-18,Wood Construction Connectors,ea,NO
LTP4Z,SIMPSON LTP4Z Lateral Tie Plate,SIMPSON LTP4Z Lateral Tie Plate,2-06-18,Wood Construction Connectors,ea,NO
LTP5,SIMPSON LTP5 Lateral Tie Plate,SIMPSON LTP5 Lateral Tie Plate,2-06-18,Wood Construction Connectors,ea,NO
MSTC28,SIMPSON MSTC28 Medium Strap Tie,SIMPSON MSTC28 Medium Strap Tie,2-06-18,Wood Construction Connectors,ea,NO
MSTC40,SIMPSON MSTC40 Medium Strap Tie,SIMPSON MSTC40 Medium Strap Tie,2-06-18,Wood Construction Connectors,ea,NO
MSTC52,SIMPSON MSTC52 Medium Strap Tie,SIMPSON MSTC52 Medium Strap Tie,2-06-18,Wood Construction Connectors,ea,NO
MSTC66,SIMPSON MSTC66 Medium Strap Tie,SIMPSON MSTC66 Medium Strap Tie,2-06-18,Wood Construction Connectors,ea,NO
MSTC78,SIMPSON MSTC78 Medium Strap Tie,SIMPSON MSTC78 Medium Strap Tie,2-06-18,Wood Construction Connectors,ea,NO
MTS12,SIMPSON MTS12 Medium Twist Strap,SIMPSON MTS12 Medium Twist Strap,2-06-18,Wood Construction Connectors,ea,NO
MTS12-REV,SIMPSON MTS12-REV Medium Twist Strap,SIMPSON MTS12-REV Medium Twist Strap,2-06-18,Wood Construction Connectors,ea,NO
MTS12SS,SIMPSON MTS12SS Medium Twist Strap,SIMPSON MTS12SS Medium Twist Strap,2-06-18,Wood Construction Connectors,ea,NO
MTS12Z,SIMPSON MTS12Z Medium Twist Strap,SIMPSON MTS12Z Medium Twist Strap,2-06-18,Wood Construction Connectors,ea,NO
MTS16,SIMPSON MTS16 Medium Twist Strap,SIMPSON MTS16 Medium Twist Strap,2-06-18,Wood Construction Connectors,ea,NO
MTS16-REV,SIMPSON MTS16-REV Medium Twist Strap,SIMPSON MTS16-REV Medium Twist Strap,2-06-18,Wood Construction Connectors,ea,NO
MTS16Z,SIMPSON MTS16Z Medium Twist Strap,SIMPSON MTS16Z Medium Twist Strap,2-06-18,Wood Construction Connectors,ea,NO
MTS18,SIMPSON MTS18 Medium Twist Strap,SIMPSON MTS18 Medium Twist Strap,2-06-18,Wood Construction Connectors,ea,NO
MTS18-REV,SIMPSON MTS18-REV Medium Twist Strap,SIMPSON MTS18-REV Medium Twist Strap,2-06-18,Wood Construction Connectors,ea,NO
MTS20,SIMPSON MTS20 Medium Twist Strap,SIMPSON MTS20 Medium Twist Strap,2-06-18,Wood Construction Connectors,ea,NO
MTS20-REV,SIMPSON MTS20-REV Medium Twist Strap,SIMPSON MTS20-REV Medium Twist Strap,2-06-18,Wood Construction Connectors,ea,NO
MTS20SS,SIMPSON MTS20SS Medium Twist Strap,SIMPSON MTS20SS Medium Twist Strap,2-06-18,Wood Construction Connectors,ea,NO
MTS20Z,SIMPSON MTS20Z Medium Twist Strap,SIMPSON MTS20Z Medium Twist Strap,2-06-18,Wood Construction Connectors,ea,NO
MTS24C,SIMPSON MTS24C Medium Twist Strap,SIMPSON MTS24C Medium Twist Strap,2-06-18,Wood Construction Connectors,ea,NO
MTS24C-REV,SIMPSON MTS24C-REV Medium Twist Strap,SIMPSON MTS24C-REV Medium Twist Strap,2-06-18,Wood Construction Connectors,ea,NO
MTS30,SIMPSON MTS30 Medium Twist Strap,SIMPSON MTS30 Medium Twist Strap,2-06-18,Wood Construction Connectors,ea,NO
MTS30-REV,SIMPSON MTS30-REV Medium Twist Strap,SIMPSON MTS30-REV Medium Twist Strap,2-06-18,Wood Construction Connectors,ea,NO
MTS30C,SIMPSON MTS30C Medium Twist Strap,SIMPSON MTS30C Medium Twist Strap,2-06-18,Wood Construction Connectors,ea,NO
MTS30C-REV,SIMPSON MTS30C-REV Medium Twist Strap,SIMPSON MTS30C-REV Medium Twist Strap,2-06-18,Wood Construction Connectors,ea,NO
MTS30Z,SIMPSON MTS30Z Medium Twist Strap,SIMPSON MTS30Z Medium Twist Strap,2-06-18,Wood Construction Connectors,ea,NO
PSL312914(2.2E),"3 1/2"" x 9 1/4"" 2.2E Parallam PSL ","3 1/2"" x 9 1/4"" 2.2E Parallam PSL ",2-06-18,EWP,ea,NO
PSL312912(2.2E),"3 1/2"" x 9 1/2"" 2.2E Parallam PSL ","3 1/2"" x 9 1/2"" 2.2E Parallam PSL ",2-06-18,EWP,ea,NO
PSL3121178(2.2E),"3 1/2"" x 11 7/8"" 2.2E Parallam PSL ","3 1/2"" x 11 7/8"" 2.2E Parallam PSL ",2-06-18,EWP,ea,NO
PSL31214(2.2E),"3 1/2"" x 14"" 2.2E Parallam PSL ","3 1/2"" x 14"" 2.2E Parallam PSL ",2-06-18,EWP,ea,NO
PSL31216(2.2E),"3 1/2"" x 16"" 2.2E Parallam PSL ","3 1/2"" x 16"" 2.2E Parallam PSL ",2-06-18,EWP,ea,NO
PSL31218(2.2E),"3 1/2"" x 18"" 2.2E Parallam PSL ","3 1/2"" x 18"" 2.2E Parallam PSL ",2-06-18,EWP,ea,NO
PSL514914(2.2E),"5 1/4"" x 9 1/4"" 2.2E Parallam PSL ","5 1/4"" x 9 1/4"" 2.2E Parallam PSL ",2-06-18,EWP,ea,NO
